CRIME_TYPE,INCIDENT_DATE,INCIDENT_UNIQUE_IDENTIFIER,INCIDENT_REASON,LOCATION_DISTRICT,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_CITY,LOCATION_STATE
,2/1/17 0:01,17-901959,BURGLARY-AUTO,,BAYO VISTA AVE,Oakland,CA
,1/31/17 15:30,17-901960,BURGLARY-FORCIBLE ENTRY,21Y,3300 SUTER ST,Oakland,CA
,1/31/17 13:00,17-901961,BURGLARY-AUTO,12X,4800 CLARKE ST,Oakland,CA
,2/1/17 0:00,17-901962,VANDALISM,,300 BELLEVUE AVENUE,Oakland,CA
,1/28/17 9:30,17-901963,VANDALISM,,27TH & BROADWAY,Oakland,CA
PETTY THEFT,1/7/17 9:00,17-900673,THEFT,26Y,7500 INTERNATIONAL BLVD,Oakland,CA
,1/29/17 1:20,17-901965,VANDALISM,16Y,3800 BRIGHTON AVE,Oakland,CA
,1/31/17 7:55,17-901966,BURGLARY-FORCIBLE ENTRY,14X,300 GRAND AVE,Oakland,CA
,1/31/17 18:20,17-901967,BURGLARY-AUTO,,MONTANA ST & DIAMOND AVENUE,Oakland,CA
,1/26/17 21:15,17-901970,BURGLARY-AUTO,,52ND ST,Oakland,CA
,1/29/17 5:30,17-901940,BURGLARY-AUTO,24Y,3600 ALLENDALE AVE,Oakland,CA
,1/31/17 21:15,17-901941,BURGLARY-AUTO,,300 W 40TH / OPAL,Oakland,CA
,1/31/17 18:25,17-901942,VANDALISM,01X,200 MADISON ST,Oakland,CA
BURG - RESIDENTIAL,12/31/16 17:24,17-000189,BURGLARY-FORCIBLE ENTRY,35Y,00 EDGEMONT WY,Oakland,CA
,1/31/17 17:35,17-901943,BURGLARY-AUTO,08X,3900 BROADWAY,Oakland,CA
,1/31/17 21:35,17-901944,THEFT,20X,3000 E 9TH ST,Oakland,CA
,1/26/17 9:40,17-901945,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,,SAN PABLO AVE,Oakland,CA
,1/31/17 18:30,17-901946,BURGLARY-AUTO,01X,400 BROADWAY,Oakland,CA
,1/31/17 20:30,17-901947,BURGLARY-AUTO,09X,4200 HOWE ST,Oakland,CA
,1/31/17 18:20,17-901948,BURGLARY-AUTO,,MONTELL ST,Oakland,CA
,1/31/17 21:45,17-901949,BURGLARY-AUTO,,40TH ST,Oakland,CA
,1/31/17 17:50,17-901950,BURGLARY-AUTO,04X,1500 FRANKLIN ST,Oakland,CA
,1/31/17 16:10,17-901951,BURGLARY-AUTO,08X,2400 BROADWAY,Oakland,CA
,1/31/17 0:30,17-901952,BURGLARY-AUTO,08X,2300 BROADWAY,Oakland,CA
,1/31/17 21:00,17-901953,BURGLARY-AUTO,14Y,700 WALKER AVE,Oakland,CA
,1/30/17 18:30,17-901954,BURGLARY-AUTO,08X,2600 TELEGRAPH AVE,Oakland,CA
,1/31/17 3:00,17-901935,BURGLARY-AUTO,16Y,3700 RANDOLPH AVE,Oakland,CA
BURG - RESIDENTIAL,12/29/16 13:00,17-900205,BURGLARY-FORCIBLE ENTRY,02Y,1600 12TH ST,Oakland,CA
,1/31/17 11:00,17-901936,VANDALISM,01X,100 JEFFERSON ST,Oakland,CA
VANDALISM,1/7/17 17:02,17-900633,VANDALISM,77X,LAKESHORE AVE,Oakland,CA
PETTY THEFT,11/29/16 7:15,16-916158,THEFT,19X,1200 LAKESHORE AV,Oakland,CA
BURG - AUTO,11/29/16 14:05,16-916168,BURGLARY-AUTO,04X,21ST ST & TELEGRAPH AV,Oakland,CA
VANDALISM,11/29/16 1:35,16-916170,VANDALISM,11X,600 ALCATRAZ AV,Oakland,CA
,1/31/17 18:10,17-901937,BURGLARY-AUTO,01X,100 MADISON ST,Oakland,CA
FRAUD,11/29/16 7:30,16-916174,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,22Y,4100 COOLIDGE AV,Oakland,CA
FRAUD,11/29/16 9:00,16-916176,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,17Y,1200 E 34TH ST,Oakland,CA
,1/31/17 10:00,17-901938,VANDALISM,02X,900 7TH ST,Oakland,CA
VANDALISM,11/29/16 19:49,16-916184,VANDALISM,08X,3700 TELEGRAPH AV,Oakland,CA
VANDALISM,11/29/16 16:00,16-916185,VANDALISM,03X,900 FRANKLIN ST,Oakland,CA
BURG - AUTO,11/29/16 20:15,16-916188,BURGLARY-AUTO,12X,500 49TH ST,Oakland,CA
,1/31/17 18:30,17-901939,BURGLARY-AUTO,,WEBSTER ST & 2ND ST,Oakland,CA
,1/10/17 19:00,17-901924,VANDALISM,,SAN LEANDRO ST,Oakland,CA
,1/17/17 3:20,17-901926,ATTEMPT VEHICLE THEFT-AUTO,,7000 KRAUSE AVE,Oakland,CA
,1/31/17 8:50,17-901927,VANDALISM,,NORTHGATE AVE,Oakland,CA
PETTY THEFT,11/29/16 3:00,16-916141,THEFT,24X,2100 HARRINGTON AV,Oakland,CA
VANDALISM,1/3/17 21:00,17-900490,VANDALISM,24Y,2800 EASTMAN AV,Oakland,CA
,1/28/17 18:05,17-901928,THEFT,,13800 E E 14TH,Oakland,CA
,1/27/17 21:30,17-901929,VANDALISM,,14TH HARRISON ST,Oakland,CA
,1/28/17 20:55,17-901930,VANDALISM,33X,1000 ELMHURST AVE,Oakland,CA
,1/30/17 13:31,17-901931,BURGLARY-FORCIBLE ENTRY,,4000 CARRINTON ST,Oakland,CA
,1/31/17 16:10,17-901932,BURGLARY-AUTO,,500 EMBARCADARO WEST,Oakland,CA
VANDALISM,11/29/16 9:40,16-916144,VANDALISM,14X,300 STATEN AV,Oakland,CA
BURG - AUTO,11/29/16 8:55,16-916155,BURGLARY-AUTO,19X,1000 7TH AV,Oakland,CA
PETTY THEFT,11/29/16 12:10,16-916156,THEFT,08X,3000 BROADWAY,Oakland,CA
,1/31/17 14:15,17-901923,BURGLARY-AUTO,12X,4800 TELEGRAPH AVE,Oakland,CA
,1/30/17 23:45,17-901933,BURGLARY-AUTO,18X,1600 E 19TH ST,Oakland,CA
,1/31/17 14:50,17-901934,BURGLARY-AUTO,,REINHARDT DRIVE,Oakland,CA
RECOVERED O/S STOLEN,12/9/16 22:33,16-065131,VEHICLE THEFT - AUTO,31X,00 SWAN WY,Oakland,CA
MISDEMEANOR ASSAULT,1/27/17 16:41,17-004851,DISTURB THE PEACE,03Y,400 7TH ST,Oakland,CA
DOMESTIC VIOLENCE,1/27/17 16:10,17-004853,THREAT CRIME:INT:TERRORIZE,30Y,2600 73RD AV,Oakland,CA
FRAUD,12/29/16 15:05,17-900170,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,24X,1900 40TH AV,Oakland,CA
MISDEMEANOR ASSAULT,1/27/17 16:54,17-004854,DISTURB THE PEACE,24X,1900 40TH AV,Oakland,CA
NARCOTICS,1/27/17 17:02,17-004858,POSSESS NARCOTIC CONTROLLED SUBSTANCE,34X,1400 89TH AV,Oakland,CA
ROBBERY,1/27/17 13:15,17-004867,CARJACKING WITH FIREARM,16Y,4400 EVANS AV,Oakland,CA
BURG - RESIDENTIAL,1/27/17 16:15,17-004868,BURGLARY-NO FORCE,20X,1400 29TH AV,Oakland,CA
VANDALISM,1/3/17 12:00,17-900478,VANDALISM,24Y,2800 EASTMAN AV,Oakland,CA
VANDALISM,11/29/16 6:00,16-916130,VANDALISM,05X,800 20TH ST,Oakland,CA
VANDALISM,11/29/16 1:05,16-916132,VANDALISM,01X,400 JACKSON ST,Oakland,CA
PETTY THEFT,12/29/16 13:50,17-900185,THEFT,16Y,4300 LEACH AV,Oakland,CA
PETTY THEFT,11/29/16 3:00,16-916137,THEFT,22X,3900 WHITTLE AV,Oakland,CA
MISDEMEANOR ASSAULT,1/26/17 17:00,17-004940,BATTERY,27X,5100 BANCROFT AV,Oakland,CA
WEAPONS,12/3/16 15:14,16-063992,CARRY CONCEALED WEAPON IN VEHICLE,26Y,7200 HAMILTON ST,Oakland,CA
STOLEN VEHICLE,11/21/16 20:00,16-062085,VEHICLE THEFT - AUTO,18Y,1900 E 26TH ST,Oakland,CA
DOMESTIC VIOLENCE,12/3/16 18:41,16-063994,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,07X,3000 MYRTLE ST,Oakland,CA
ROBBERY,12/3/16 19:00,16-063997,"ROBBERY/INHABITED DWELLING - STRONGARM (HANDS, FISTS, FEET)",24X,2000 36TH AV,Oakland,CA
ROBBERY,12/3/16 19:34,16-063998,ROBBERY-FIREARM,20X,2600 E 16TH ST,Oakland,CA
BURG - AUTO,11/19/16 21:00,16-915826,BURGLARY-AUTO,04X,1800 ALICE ST,Oakland,CA
ROBBERY,12/3/16 19:50,16-063999,ROBBERY-FIREARM,25X,3800 38TH AV,Oakland,CA
BURG - AUTO,11/16/16 18:05,16-915921,BURGLARY-AUTO,11X,SHATTUCK AV,Oakland,CA
PETTY THEFT,11/16/16 5:00,16-915922,THEFT,99X,300 GRAVATT DRIVE,Oakland,CA
MISDEMEANOR ASSAULT,12/3/16 20:25,16-064002,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,05X,1800 LINDEN ST,Oakland,CA
BURG - AUTO,1/6/17 7:25,17-900618,BURGLARY-AUTO,29X,5700 S PICARDY DR,Oakland,CA
BURG - AUTO,11/19/16 13:00,16-915829,BURGLARY-AUTO,01X,300 HARRISON ST,Oakland,CA
ROBBERY,12/3/16 21:20,16-064006,ROBBERY-KNIFE OR CUTTING INSTRUMENT,03Y,1000 BROADWAY,Oakland,CA
MISDEMEANOR ASSAULT,12/15/16 19:55,16-066150,BATTERY,08X,3000 WEBSTER ST,Oakland,CA
PETTY THEFT,11/19/16 16:30,16-915814,THEFT,77X,LAKE PARK AVE,Oakland,CA
PROSTITUTION,12/15/16 21:00,16-066152,LOITER:INTENT:PROSTITUTION,19X,2100 E 15TH ST,Oakland,CA
PROSTITUTION,12/15/16 18:26,16-066126,DISORDERLY CONDUCT:PROSTITUTION,19X,1500 EMBARCADERO,Oakland,CA
VANDALISM,11/19/16 16:20,16-915817,VANDALISM,03X,800 JACKSON ST,Oakland,CA
STOLEN VEHICLE,11/21/16 5:04,16-062069,VEHICLE THEFT - AUTO,29X,6300 HILLMONT DR,Oakland,CA
PROSTITUTION,12/15/16 18:36,16-066128,LOITER:INTENT:PROSTITUTION,19X,1400 21ST AV,Oakland,CA
PETTY THEFT,11/23/16 22:00,16-916068,THEFT,12Y,5200 JAMES AV,Oakland,CA
NARCOTICS,12/3/16 16:00,16-063978,TRANSPORT/SELL NARCOTIC/CONTROLLED SUBSTANCE,06X,600 23RD ST,Oakland,CA
STOLEN VEHICLE,12/3/16 17:04,16-063984,VEHICLE THEFT - AUTO,33X,97TH AV & B ST,Oakland,CA
FELONY ASSAULT,12/3/16 17:37,16-063988,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,34X,9200 SUNNYSIDE ST,Oakland,CA
BURG - AUTO,12/3/16 17:00,16-063989,BURGLARY-AUTO,08X,2300 BROADWAY,Oakland,CA
MISDEMEANOR ASSAULT,12/3/16 18:10,16-063991,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,31Y,9700 EDES AV,Oakland,CA
DOMESTIC VIOLENCE,12/3/16 10:30,16-063936,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,12Y,5300 MILES AV,Oakland,CA
STOLEN VEHICLE,12/31/16 23:40,17-000110,VEHICLE THEFT - AUTO,33X,1200 88TH AV,Oakland,CA
BURG - COMMERCIAL,11/21/16 15:00,16-062022,BURGLARY-NO FORCE,03X,1000 BROADWAY,Oakland,CA
VANDALISM,11/21/16 20:50,16-062025,VANDALISM (AMENDED),27Y,2300 66TH AV,Oakland,CA
PETTY THEFT,1/2/17 16:40,17-900116,THEFT,06X,600 34TH ST,Oakland,CA
STOLEN VEHICLE,12/16/16 9:00,16-066619,VEHICLE THEFT - AUTO,17X,1900 7TH AV,Oakland,CA
VANDALISM,12/31/16 18:00,17-000112,VANDALISM [UNDER $400],29X,7200 MACARTHUR BLVD,Oakland,CA
BURG - AUTO,11/19/16 2:45,16-915807,BURGLARY-AUTO,04X,600 22ND ST,Oakland,CA
VANDALISM,1/2/17 12:48,17-900119,VANDALISM,17Y,1300 E 28TH ST,Oakland,CA
GRAND THEFT,1/2/17 17:55,17-900121,GRAND THEFT,14Y,3300 LAKESHORE AV,Oakland,CA
BURG - AUTO,1/2/17 18:00,17-900122,BURGLARY-AUTO,07X,1200 28TH ST,Oakland,CA
STOLEN VEHICLE,1/2/17 20:30,17-900124,ATTEMPT VEHICLE THEFT-AUTO,77X,12TH ST,Oakland,CA
GRAND THEFT,1/2/17 21:30,17-900128,GRAND THEFT,04X,1700 TELEGRAPH AV,Oakland,CA
BURG - AUTO,11/19/16 11:35,16-915812,BURGLARY-AUTO,77X,27TH ST,Oakland,CA
PETTY THEFT,12/3/16 9:00,16-063924,SHOPLIFT,03X,1200 BROADWAY,Oakland,CA
BURG - AUTO,11/21/16 21:30,16-062018,BURGLARY-AUTO,21X,2500 FOOTHILL BLVD,Oakland,CA
BURG - AUTO,11/19/16 21:00,16-915793,BURGLARY-AUTO,09X,3900 BROADWAY,Oakland,CA
MISDEMEANOR ASSAULT,12/3/16 9:25,16-063925,BATTERY,34X,1800 90TH AV,Oakland,CA
MISDEMEANOR ASSAULT,12/3/16 1:30,16-063892,BATTERY,03Y,400 9TH ST,Oakland,CA
VANDALISM,11/19/16 23:00,16-915794,VANDALISM,09X,00 KELTON CT,Oakland,CA
STOLEN VEHICLE,12/3/16 0:00,16-063898,VEHICLE THEFT - AUTO,32Y,1900 104TH AV,Oakland,CA
DOMESTIC VIOLENCE,12/3/16 3:00,16-063902,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,17X,800 E 19TH ST,Oakland,CA
MISDEMEANOR ASSAULT,12/3/16 4:08,16-063903,BATTERY,24X,4100 AGUA VISTA ST,Oakland,CA
RECOVERED O/S STOLEN,12/3/16 4:45,16-063904,VEHICLE THEFT - AUTO,27X,4900 CONGRESS AV,Oakland,CA
DOMESTIC VIOLENCE,12/3/16 4:00,16-063905,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,18Y,1900 E 25TH ST,Oakland,CA
DOMESTIC VIOLENCE,12/3/16 9:49,16-063929,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,4500 ELLEN ST,Oakland,CA
BURG - RESIDENTIAL,12/3/16 10:30,16-063932,BURGLARY-FORCIBLE ENTRY,35X,8700 THERMAL ST,Oakland,CA
VANDALISM,11/19/16 22:00,16-915771,VANDALISM,19X,1500 E 12TH ST,Oakland,CA
NARCOTICS,12/3/16 23:24,16-063880,POSSESS MARIJUANA/HASHISH FOR SALE,30Y,7300 BANCROFT AV,Oakland,CA
PETTY THEFT,11/19/16 23:00,16-915774,THEFT,14X,300 GRAND AV,Oakland,CA
VANDALISM,11/19/16 22:00,16-915775,VANDALISM,04X,600 16TH ST,Oakland,CA
PROSTITUTION,12/3/16 0:26,16-063884,LOITER:INTENT:PROSTITUTION,23X,1500 37TH AV,Oakland,CA
DOMESTIC VIOLENCE,12/3/16 0:40,16-063888,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27Y,1400 48TH AV,Oakland,CA
VANDALISM,11/19/16 17:00,16-915780,VANDALISM,15X,2000 LAKESHORE AV,Oakland,CA
MISDEMEANOR ASSAULT,12/3/16 0:45,16-063889,BATTERY,26Y,1000 71ST AV,Oakland,CA
ROBBERY,12/3/16 1:20,16-063891,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",06X,600 25TH ST,Oakland,CA
RECOVERED O/S STOLEN,12/3/16 5:45,16-063907,VEHICLE THEFT - AUTO,27Y,6300 AVENAL AV,Oakland,CA
BURG - AUTO,12/31/16 15:00,17-000047,BURGLARY-AUTO,03X,600 WEBSTER ST,Oakland,CA
ROBBERY,12/15/16 1:00,16-066117,ROBBERY-FIREARM,23X,1800 38TH AV,Oakland,CA
PROSTITUTION,12/15/16 17:11,16-066119,DISORDERLY CONDUCT:PROSTITUTION,19X,1900 E 15TH ST,Oakland,CA
PROSTITUTION,12/15/16 17:40,16-066121,DISORDERLY CONDUCT:PROSTITUTION,19X,1800 INTERNATIONAL BLVD,Oakland,CA
BURG - AUTO,12/15/16 17:35,16-066122,BURGLARY-AUTO,08X,2500 TELEGRAPH AV,Oakland,CA
PROSTITUTION,12/15/16 18:14,16-066125,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 MILLER AV,Oakland,CA
PETTY THEFT,12/15/16 22:00,16-066263,THEFT,31Z,300 105TH AV,Oakland,CA
OTHER,12/15/16 19:58,16-066144,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,17X,1800 PARK BLVD,Oakland,CA
VANDALISM,12/15/16 20:21,16-066145,VANDALISM,35X,2300 92ND AV,Oakland,CA
FELONY ASSAULT,12/15/16 19:15,16-066147,ASSAULT WITH FIREARM ON PERSON,26Y,HAWLEY ST & 77TH AV,Oakland,CA
PETTY THEFT,12/6/16 16:00,16-917222,THEFT,05Y,1700 W GRAND AV,Oakland,CA
PROSTITUTION,12/15/16 20:25,16-066148,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 17TH AV,Oakland,CA
BURG - AUTO,12/15/16 17:10,16-066149,BURGLARY-AUTO,30Y,7300 MACARTHUR BLVD,Oakland,CA
STOLEN VEHICLE,11/24/16 21:00,16-063794,VEHICLE THEFT - AUTO,21X,2500 25TH AV,Oakland,CA
DOMESTIC VIOLENCE,11/21/16 21:15,16-061986,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,01X,300 2ND ST,Oakland,CA
BURG - AUTO,1/27/17 12:25,17-004828,BURGLARY-AUTO,12X,41ST ST & WEBSTER ST,Oakland,CA
VANDALISM,1/8/17 0:00,17-900766,VANDALISM,15X,1900 LAKESHORE AV,Oakland,CA
STOLEN VEHICLE,1/27/17 13:25,17-004829,VEHICLE THEFT - AUTO,30Y,3800 KELLER AV,Oakland,CA
VANDALISM,12/29/16 9:05,17-900140,VANDALISM,33X,900 85TH AV,Oakland,CA
STOLEN VEHICLE,1/27/17 14:20,17-004835,VEHICLE THEFT - AUTO,35X,8700 MACARTHUR BLVD,Oakland,CA
THREATS,1/27/17 14:25,17-004837,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,22X,3500 LINCOLN AV,Oakland,CA
WEAPONS,1/27/17 14:30,17-004838,CARRY CONCEALED WEAPON IN VEHICLE,26Y,1100 60TH AV,Oakland,CA
RECOVERED O/S STOLEN,1/27/17 0:00,17-004840,VEHICLE THEFT - AUTO,31X,00 SWAN WY,Oakland,CA
ROBBERY,1/27/17 15:10,17-004843,ROBBERY-FIREARM,02Y,800 WOOD ST,Oakland,CA
MISDEMEANOR ASSAULT,1/27/17 15:50,17-004846,BATTERY,02Y,13TH ST & WILLOW ST,Oakland,CA
FELONY ASSAULT,1/27/17 16:00,17-004847,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,30X,7200 KRAUSE AV,Oakland,CA
STOLEN VEHICLE,1/15/17 11:00,17-004849,VEHICLE THEFT - AUTO,30Y,2800 76TH AV,Oakland,CA
PETTY THEFT,11/28/16 0:00,16-916086,THEFT,13Y,6600 PINE NEEDLE DR,Oakland,CA
BURG - AUTO,11/28/16 19:55,16-916088,BURGLARY-AUTO,12X,500 49TH ST,Oakland,CA
BURG - AUTO,11/28/16 2:05,16-916091,BURGLARY-AUTO,12X,400 50TH ST,Oakland,CA
BURG - AUTO,11/28/16 9:30,16-916098,BURGLARY-AUTO,08X,3400 TELEGRAPH AV,Oakland,CA
DOMESTIC VIOLENCE,11/28/16 11:00,16-916105,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,13Z,5700 THORNHILL DR,Oakland,CA
PETTY THEFT,11/28/16 12:15,16-916106,THEFT,03X,400 13TH ST,Oakland,CA
VANDALISM,11/19/16 20:20,16-915767,VANDALISM,04X,1900 FRANKLIN ST,Oakland,CA
BURG - AUTO,11/28/16 0:20,16-916113,BURGLARY-AUTO,29X,6500 OUTLOOK AV,Oakland,CA
BURG - AUTO,11/19/16 12:00,16-915768,BURGLARY-AUTO,77X,3RD ST,Oakland,CA
MISDEMEANOR ASSAULT,1/27/17 11:30,17-004823,ASSAULT AND BATTERY,04X,500 21ST ST,Oakland,CA
DUI,1/27/17 12:00,17-004825,DUI: DRUGS,27X,5100 FOOTHILL BLVD,Oakland,CA
BURG - AUTO,11/28/16 17:45,16-916118,BURGLARY-AUTO,08X,500 40TH ST,Oakland,CA
PETTY THEFT,11/28/16 14:10,16-916146,THEFT,02Y,1400 9TH ST,Oakland,CA
DISORDERLY CONDUCT,11/27/16 0:00,16-064430,DISTURB THE PEACE,77X,0,Oakland,CA
VANDALISM,1/9/17 9:10,17-900527,VANDALISM,32X,1900 DURANT AV,Oakland,CA
INCIDENT TYPE,1/9/17 10:05,17-900530,GRAND THEFT,31Y,8400 ENTERPRISE WY,Oakland,CA
VANDALISM,11/17/16 22:10,16-061266,VANDALISM:DEFACE PROPERTY,30Y,2600 74TH AV,Oakland,CA
BURG - AUTO,1/9/17 7:35,17-900531,BURGLARY-AUTO,19X,600 E 10TH ST,Oakland,CA
DISORDERLY CONDUCT,1/1/17 17:30,17-900370,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,26Y,900 66TH AV,Oakland,CA
BURG - AUTO,1/9/17 10:30,17-900553,BURGLARY-AUTO,77X,0,Oakland,CA
GRAND THEFT,1/9/17 11:30,17-900556,THEFT,26X,4500 INTERNATIONAL BLVD,Oakland,CA
BURG - COMMERCIAL,12/3/16 14:30,16-064581,BURGLARY-FORCIBLE ENTRY,31X,00 HEGENBERGER RD.,Oakland,CA
BURG - AUTO,12/2/16 15:00,16-916850,BURGLARY-AUTO,77X,17TH ST,Oakland,CA
RECOVERED O/S STOLEN,12/5/16 17:02,16-064575,VEHICLE THEFT - AUTO,13Z,6200 ANTIOCH ST,Oakland,CA
STOLEN VEHICLE,11/17/16 22:00,16-061434,VEHICLE THEFT - AUTO,32X,1000 105TH AV,Oakland,CA
ROBBERY,12/31/16 23:55,17-000004,ROBBERY-FIREARM,29X,6300 MONADNOCK WY,Oakland,CA
STOLEN VEHICLE,12/5/16 18:00,16-064586,VEHICLE THEFT - AUTO,25X,4400 WORDEN WY,Oakland,CA
BURG - AUTO,11/28/16 3:00,16-916080,BURGLARY-AUTO,12Y,5800 BIRCH CT,Oakland,CA
STOLEN VEHICLE,11/28/16 13:45,16-916134,ATTEMPT VEHICLE THEFT-AUTO,77X,75TH AVE,Oakland,CA
BURG - AUTO,11/28/16 21:15,16-916135,BURGLARY-AUTO,77X,12TH ST,Oakland,CA
BURG - AUTO,11/28/16 17:15,16-916136,BURGLARY-AUTO,04X,300 19TH ST,Oakland,CA
BURG - COMMERCIAL,12/4/16 9:27,16-064215,BURGLARY-FORCIBLE ENTRY,04X,2000 FRANKLIN ST,Oakland,CA
VANDALISM,11/28/16 23:00,16-916138,VANDALISM,26Y,1200 80TH AV,Oakland,CA
GRAND THEFT,11/28/16 19:28,16-916139,GRAND THEFT,08X,3400 TELEGRAPH AV,Oakland,CA
VANDALISM,11/28/16 20:30,16-916140,VANDALISM,12Y,5300 COLLEGE AV,Oakland,CA
FELONY ASSAULT,12/31/16 23:02,16-068801,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,34X,IFO 1431 84TH AV,Oakland,CA
VANDALISM,11/28/16 13:00,16-916143,VANDALISM,30Y,6900 FOOTHILL BLVD,Oakland,CA
GRAND THEFT,12/13/16 10:50,16-917317,GRAND THEFT,14Y,700 WALKER AV,Oakland,CA
DISORDERLY CONDUCT,12/4/16 6:00,16-064220,VEHICLE THEFT - AUTO,26Y,5900 SAN LEANDRO ST,Oakland,CA
ROBBERY,12/4/16 19:15,16-064221,ROBBERY-FIREARM,12Y,5800 AYALA AV,Oakland,CA
ROBBERY,12/31/16 11:20,17-000001,ROBBERY-FIREARM,12Y,5200 LOCKSLEY AV,Oakland,CA
FELONY ASSAULT,12/31/16 20:54,16-068787,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,21X,IFO 2440 E.21ST ST,Oakland,CA
DOMESTIC VIOLENCE,12/31/16 8:20,16-068788,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,21X,2500 26TH AV,Oakland,CA
DOMESTIC VIOLENCE,12/31/16 22:20,16-068796,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,34X,1500 94TH AV,Oakland,CA
STOLEN VEHICLE,12/31/16 12:00,17-000116,VEHICLE THEFT - AUTO,35Y,10800 FOOTHILL BLVD,Oakland,CA
BURG - AUTO,12/31/16 17:30,17-000051,BURGLARY-AUTO,19X,200 E 12TH ST,Oakland,CA
PETTY THEFT,11/19/16 20:30,16-915765,THEFT,24X,3900 AGUA VISTA ST,Oakland,CA
BURG - AUTO,11/19/16 21:30,16-915766,BURGLARY-AUTO,09X,00 YOSEMITE AV,Oakland,CA
STOLEN AND RECOVERED VEHICLE,12/8/16 15:00,16-065404,ATTEMPT VEHICLE THEFT-AUTO,31Y,500 CLARA ST,Oakland,CA
GRAND THEFT,12/30/16 23:30,17-900257,GRAND THEFT,12Y,5800 OCEAN VIEW DR,Oakland,CA
BURG - AUTO,12/31/16 22:00,17-000066,BURGLARY-AUTO,03Y,11TH ST & CLAY ST,Oakland,CA
NARCOTICS,12/31/16 22:41,16-068800,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,06X,800 30TH ST,Oakland,CA
ROBBERY,12/31/16 23:55,17-000031,ROBBERY-FIREARM,29X,6500 SUNNYMERE AV,Oakland,CA
PETTY THEFT,11/19/16 15:30,16-915758,THEFT,12X,5000 TELEGRAPH AV,Oakland,CA
VANDALISM,11/28/16 19:10,16-916133,VANDALISM,77X,COLLEGE AVE,Oakland,CA
STOLEN AND RECOVERED VEHICLE,11/19/16 16:30,16-915759,ATTEMPT VEHICLE THEFT-AUTO,77X,LAKE PARK AVE,Oakland,CA
BURG - AUTO,11/19/16 19:00,16-915761,BURGLARY-AUTO,12X,41ST ST & SHAFTER AV,Oakland,CA
VANDALISM,12/30/16 23:30,17-900208,VANDALISM,04X,300 14TH ST,Oakland,CA
BURG - AUTO,11/19/16 14:30,16-915762,BURGLARY-AUTO,01X,400 ALICE ST,Oakland,CA
VANDALISM,11/19/16 10:25,16-915764,VANDALISM,77X,REDWOOD ROAD,Oakland,CA
NARCOTICS,12/31/16 20:28,16-068785,POSSESS/PURCHASE COCAINE BASE FOR SALE,02Y,700 WILLOW ST,Oakland,CA
STOLEN VEHICLE,11/21/16 10:00,16-061982,VEHICLE THEFT - AUTO,03X,700 HARRISON ST,Oakland,CA
BURG - AUTO,12/31/16 18:50,16-068778,BURGLARY-AUTO,08X,2600 BROADWAY,Oakland,CA
ROBBERY,12/31/16 11:05,16-068716,ROBBERY-KNIFE OR CUTTING INSTRUMENT,14Y,IFO 764 WALKER AVE,Oakland,CA
BURG - RESIDENTIAL,12/11/16 1:20,16-917060,BURGLARY-FORCIBLE ENTRY,05Y,1600 14TH ST,Oakland,CA
DOMESTIC VIOLENCE,11/21/16 21:45,16-061983,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,1200 65TH AV,Oakland,CA
RECOVERED O/S STOLEN,12/31/16 11:22,16-068726,VEHICLE THEFT - AUTO,32Y,2700 OLIVER AV,Oakland,CA
ROBBERY,11/21/16 22:29,16-061985,ROBBERY-FIREARM,21X,2600 GRANDE VISTA AV,Oakland,CA
PETTY THEFT,12/29/16 12:00,17-000224,THEFT,04X,1700 BROADWAY,Oakland,CA
